Name,Processor,Video Card,Display,Storage,RAM,Weight
ASUS TUF Gaming F17 FX706,Intel Core i5-10300H,"NVIDIA GeForce GTX 1650 Ti (Laptop, 50W, 128-bit)","17.3”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,"8GB DDR4, 2933 MHz",2.60 kg (5.7 lbs)
ASUS ZenBook Duo 14 UX482,Intel Core i7-1165G7,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,16GB LPDDR4x,1.57 kg (3.5 lbs)
HP Pavilion Gaming 15,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), IPS",1000GB HDD,"8GB DDR4, 3200 MHz",1.98 kg (4.4 lbs)
Apple MacBook Air 13 (2020),Intel Core i5-1030NG7,Intel Iris Plus Graphics G7,"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,8GB LPDDR4x,1.29 kg (2.8 lbs)
Apple MacBook Air 13,Apple M1,Apple M1 GPU (8-core),"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,8GB RAM,1.29 kg (2.8 lbs)
HP Pavilion Gaming 15,AMD Ryzen 5 4600H,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.98 kg (4.4 lbs)
Apple MacBook Pro 13 (2020),Intel Core i5-1038NG7,Intel Iris Plus Graphics G7,"13.3”, WQXGA (2560 x 1600), IPS",1000GB SSD,16GB LPDDR4x,1.40 kg (3.1 lbs)
Lenovo IdeaPad S145 15,AMD Ryzen 3 3200U,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), TN",1000GB HDD,"4GB DDR4, 2400 MHz",1.85 kg (4.1 lbs)
Lenovo Yoga 6 13,AMD Ryzen 7 4700U,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","13.3”, Full HD (1920 x 1080), IPS",512GB SSD,"16GB DDR4, 3200 MHz",1.32 kg (2.9 lbs)
Lenovo Legion 5i 15,Intel Core i7-10750H,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",256GB SSD + 1000GB HDD,"8GB DDR4, 2933 MHz",2.30 kg (5.1 lbs)
Dell Inspiron 3511,Intel Core i5-1135G7,NVIDIA GeForce MX350,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,16GB DDR4,1.73 kg (3.8 lbs)
ASUS ROG Zephyrus G14 GA401,AMD Ryzen 9 5900HS,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","14.0″, WQHD (2560 x 1440), 120 Hz, IPS + FreeSync",1000GB SSD,"16GB DDR4, 3200 MHz",1.60 kg (3.5 lbs)
Lenovo IdeaPad 3 14,Intel Core i3-1005G1,Intel UHD Graphics G1,"14.0”, Full HD (1920 x 1080), TN",256GB SSD,"2x 4GB DDR4, 2666 MHz",1.50 kg (3.3 lbs)
Lenovo IdeaPad 3 15 Gaming,Intel Core i7-10750H,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD + 1000GB HDD,"8GB DDR4, 2933 MHz",2.20 kg (4.9 lbs)
Lenovo IdeaPad 3 15 Gaming,AMD Ryzen 5 4600H,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",2.20 kg (4.9 lbs)
HP Spectre x360 13,Intel Core i5-1035G4,Intel Iris Plus Graphics G4,512GB SSD,"8GB LPDDR4, 3200 MHz",1.28 kg (2.8 lbs)
Microsoft Surface Laptop 3,AMD Ryzen 5 3580U,AMD Radeon Vega 9,"15”, (2496 x 1664), IPS",128GB SSD,8GB DDR4,1.54 kg (3.4 lbs)
